"","River.Type","River.Name","New.Code.Name","Stream_Ord","Distance_km"
"1","M","ND","M1",7,343.02
"2","T","BB","T1",7,341.22
"3","M","ND","M2",8,320.15
"4","M","ND","M3",8,280.35
"5","T","NS","T2",8,283.86
"6","T","YG","T3a",6,284.76
"7","T","YG","T3b",7,274
"8","Weir","ND","W1",9,259.77
"9","T","BS","T4",7,258.72
"10","M","ND","M4",9,248.87
"11","T","WE","T5a",7,258.63
"12","T","WE","T5b",7,249.47
"13","Weir","ND","W2",9,243.22
"14","M","ND","M5",9,242.06
"15","M","ND","M6",9,228.94
"16","Weir","ND","W3",9,224.34
"17","T","GM","T6a",6,239.42
"18","T","GM","T6b",6,224.64
"19","M","ND","M7",9,201.79
"20","Weir","ND","W4",9,195.14
"21","M","ND","M8",9,193.5
"22","Weir","ND","W5",9,169
"23","M","ND","M9",9,168.86
"24","T","KH","T7a",7,183.65
"25","T","KH","T7b",7,170.6
"26","M","ND","M10",9,152.63
"27","Weir","ND","W6",9,149.02
"28","M","ND","M11",9,145.47
"29","M","ND","M12",9,125.52
"30","T","HO","T8a",6,130.69
"31","T","HO","T8b",6,122.27
"32","Weir","ND","W7",9,119.05
"33","T","HG","T9a",7,125.62
"34","T","HG","T9b",7,119.39
"35","M","ND","M13",9,95.87
"36","T","NG","T10a",8,123.18
"37","T","NG","T10b",8,87.97
"38","M","ND","M14",9,83.68
"39","Weir","ND","W8",9,75.24
"40","T","MR","T11a",7,59.68
"41","T","MR","T11b",7,50.72
"42","M","ND","M15",9,44.43
